ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2025,11,PHORTIC,2e-06,7e-06,SP,NLD,Países Baixos (Holanda)
2025,9,CEREAIS,3e-05,8.8e-05,MA,SGP,Cingapura
2025,5,PADIVER,1.2e-05,0.000386,RS,PAN,Panamá
2025,10,COUROS,0.382339,0.413365,GO,CHN,China
2025,10,PFLOREST,1.679758,1.400946,SP,CHL,Chile
2025,5,CHAMATE,2e-06,1.3e-05,AL,MHL,"Marshall, Ilhas"
2025,8,PESCADOS,3e-05,7.8e-05,BA,MHL,"Marshall, Ilhas"
2025,5,OPORANI,0.002077,0.067746,RS,CAN,Canadá
2025,8,FIBRAS,0.01144,0.020017,BA,ITA,Itália
2025,12,FUMO,3e-06,0.001571,RS,CHE,Suíça
2025,7,FIBRAS,0.0,1e-06,SC,MEX,México
2025,5,PFLOREST,0.0524,0.035132,SC,CHL,Chile
2025,12,PESCADOS,7e-05,0.00017,PR,SAU,Arábia Saudita
2025,1,PHORTIC,1.8e-05,2.5e-05,RJ,SGP,Cingapura
2025,9,POLEAG,0.000453,0.001516,SP,MHL,"Marshall, Ilhas"
2025,5,CAR_OUT,6.7e-05,0.000903,BA,LBR,Libéria
2025,5,PHORTIC,5.6e-05,0.000134,SP,PRT,Portugal
2025,12,PFLOREST,1.0066,0.535511,MS,DOM,República Dominicana
2025,8,CEREAIS,5e-06,2.7e-05,RJ,MYS,Malásia
2025,1,PHORTIC,0.0001,0.000589,RS,MHL,"Marshall, Ilhas"
2025,3,PFLOREST,0.005076,0.001833,SC,URY,Uruguai
2025,10,FRUTAS,1.5e-05,3.9e-05,AL,MHL,"Marshall, Ilhas"
2025,4,PHORTIC,2.5e-05,7.6e-05,AL,NOR,Noruega
2025,7,FIBRAS,1.7e-05,0.000302,SP,ARG,Argentina
2025,5,OPORVEG,0.0559,0.12094,RS,JPN,Japão
2025,1,CEREAIS,5e-06,2.2e-05,RS,MLT,Malta
2025,10,CAFE,0.027371,0.212552,SP,URY,Uruguai
2025,9,PHORTIC,1.4e-05,2.3e-05,RJ,BHS,Bahamas
2025,1,LACTEOS,0.01175,0.026393,MG,ECU,Equador
2025,1,PHORTIC,5e-06,2.5e-05,PA,MHL,"Marshall, Ilhas"
2025,7,FIBRAS,0.003167,0.018963,PR,PRY,Paraguai
2025,8,PADIVER,7e-06,5.9e-05,ES,BHS,Bahamas
2025,9,FIBRAS,1.3e-05,0.000726,SC,HND,Honduras
2025,2,OPORANI,0.000135,0.000355,SP,CHN,China
2025,3,FRUTAS,2e-06,2e-05,RS,BHS,Bahamas
2025,11,PADIVER,4e-06,2e-05,RJ,BEL,Bélgica
2025,4,CEREAIS,6e-06,9e-06,SP,ATG,Antígua e Barbuda
2025,7,BEBIDAS,1.5e-05,5.7e-05,RJ,LBR,Libéria
