ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2024,4,PFLOREST,0.000425,0.020423,SP,ESP,Espanha
2024,3,CAR_FRA,0.09408,0.237562,SP,COM,Comores
2024,8,COUROS,0.000989,0.025361,CE,GRC,Grécia
2024,3,LACTEOS,7e-06,0.000101,SP,NOR,Noruega
2024,5,CAR_BOV,0.009951,0.010566,SP,AGO,Angola
2024,8,FUMO,0.462,4.23654,SC,BEL,Bélgica
2024,10,OPORVEG,2.067847,29.292037,SP,USA,Estados Unidos
2024,3,FRUTAS,7e-06,2.9e-05,SP,ARG,Argentina
2024,1,COUROS,0.027469,0.320819,GO,VNM,Vietnã
2024,11,PFLOREST,0.024614,0.038383,PR,PER,Peru
2024,7,FRUTAS,0.00026,0.000437,RS,MHL,"Marshall, Ilhas"
2024,1,PFLOREST,2e-05,2.9e-05,AL,BRB,Barbados
2024,1,PFLOREST,0.2204,0.128066,RO,PRT,Portugal
2024,12,CSUCRO,6.2e-05,6.4e-05,SP,MHL,"Marshall, Ilhas"
2024,5,FRUTAS,1.1e-05,8e-05,RJ,ARE,Emirados Árabes Unidos
2024,5,CAR_BOV,7.4e-05,0.000618,RJ,MHL,"Marshall, Ilhas"
2024,8,CAR_OUT,0.045951,0.14127,MG,CHL,Chile
2024,2,RACOES,0.04002,0.072745,MG,MYS,Malásia
2024,11,PADIVER,5e-06,1.2e-05,RS,PAN,Panamá
2024,8,PFLOREST,0.000586,0.006307,SC,PAN,Panamá
2024,10,OPORANI,0.000297,0.000209,SC,CHE,Suíça
2024,8,FIBRAS,0.000142,0.004573,SP,USA,Estados Unidos
2024,3,PHORTIC,8e-06,2.1e-05,SP,IMN,Ilha de Man
2024,9,APICOLAS,0.00012,0.001075,SP,LBR,Libéria
2024,4,PHORTIC,3.5e-05,2.2e-05,PR,CHN,China
2024,8,FUMO,0.0798,0.073956,SC,CIV,Costa do Marfim
2024,1,PFLOREST,3.479681,5.834863,SC,USA,Estados Unidos
2024,11,FIBRAS,0.080784,0.755434,SC,ARG,Argentina
2024,12,POLEAG,2.4e-05,9.3e-05,RJ,NOR,Noruega
2024,11,BEBIDAS,2.3e-05,6.2e-05,CE,ATG,Antígua e Barbuda
2024,10,PESCADOS,0.000431,0.016613,CE,TWN,Taiwan (Formosa)
2024,8,CEREAIS,1.1e-05,0.000124,AM,MHL,"Marshall, Ilhas"
2024,7,PHORTIC,8.8e-05,0.000118,SP,MHL,"Marshall, Ilhas"
2024,2,PADIVER,0.000662,0.005362,SP,USA,Estados Unidos
2024,2,CAR_OUT,0.03263,0.018176,PR,GHA,Gana
2024,8,FRUTAS,0.000338,0.000624,PR,MHL,"Marshall, Ilhas"
2024,4,FIBRAS,0.0,0.000168,SP,ARE,Emirados Árabes Unidos
2024,8,CSOJA,32.0,13.316,MS,DEU,Alemanha
2024,8,FRUTAS,1.5e-05,1.1e-05,CE,IRL,Irlanda
2024,6,CAR_BOV,0.616005,2.532128,RO,EGY,Egito
2024,12,CAR_BOV,0.014702,0.128434,MG,ITA,Itália
2024,7,COUROS,0.000693,0.014554,RS,USA,Estados Unidos
2024,4,FRUTAS,5e-06,4.1e-05,SP,SGP,Cingapura
2024,2,PFLOREST,0.001695,0.005416,AM,GUY,Guiana
2024,10,CEREAIS,7.066836,1.318865,MS,JPN,Japão
2024,7,CAR_BOV,0.010912,0.017707,AC,COD,"Congo, República Democrática"
2024,11,PHORTIC,0.0003,0.001003,RS,RUS,Rússia
2024,11,FRUTAS,1e-05,5.6e-05,CE,BHS,Bahamas
2024,3,CHAMATE,3e-06,1.9e-05,SP,ITA,Itália
2024,10,FRUTAS,4.1e-05,0.000246,SP,PAN,Panamá
2024,10,BEBIDAS,4e-05,0.00011,SC,LBR,Libéria
2024,7,OPORANI,0.001588,0.001509,PA,HKG,Hong Kong
2024,6,CHAMATE,1e-06,2.8e-05,PR,SGP,Cingapura
2024,1,FRUTAS,0.000394,0.001088,ES,PAN,Panamá
2024,7,PFLOREST,6e-06,0.000877,SP,MLT,Malta
2024,8,PHORTIC,2.5e-05,5.1e-05,PR,HKG,Hong Kong
2024,3,PADIVER,6.8e-05,0.000781,MA,MHL,"Marshall, Ilhas"
2024,4,PHORTIC,5e-06,3.5e-05,AL,LBR,Libéria
2024,8,PADIVER,0.000295,0.000649,SP,NLD,Países Baixos (Holanda)
2024,10,CEREAIS,0.000683,0.00318,SP,MHL,"Marshall, Ilhas"
2024,10,PFLOREST,0.376533,0.67016,RO,BEL,Bélgica
2024,12,PHORTIC,9.8e-05,0.00021,ES,MHL,"Marshall, Ilhas"
2024,2,PHORTIC,0.04,0.0472,PR,NLD,Países Baixos (Holanda)
2024,3,FIBRAS,0.0,6.4e-05,BA,MHL,"Marshall, Ilhas"
2024,7,POLEAG,0.022176,0.025059,SC,URY,Uruguai
2024,12,OPORVEG,0.00594,0.072287,SP,USA,Estados Unidos
2024,9,BEBIDAS,0.07223,0.12768,SP,PRY,Paraguai
2024,2,PFLOREST,0.00925,0.008304,SP,AUS,Austrália
2024,9,PHORTIC,1.5e-05,1.8e-05,PA,HKG,Hong Kong
2024,9,PFLOREST,2e-06,0.000107,ES,TUR,Turquia
2024,2,FRUTAS,5e-05,5.5e-05,PR,HKG,Hong Kong
2024,12,PHORTIC,5.7e-05,0.000318,RJ,PAN,Panamá
2024,12,SUCOS,2.2e-05,0.000159,CE,LBR,Libéria
2024,1,PADIVER,3.2e-05,0.000215,SC,MHL,"Marshall, Ilhas"
2024,11,PHORTIC,3.5e-05,0.000135,SP,DNK,Dinamarca
2024,5,CSUCRO,0.29394,0.205266,AM,VEN,Venezuela
2024,2,PHORTIC,1.2e-05,0.000189,SP,HKG,Hong Kong
2024,5,CEREAIS,3e-05,9.8e-05,ES,GBR,Reino Unido
2024,12,CEREAIS,5e-06,8e-06,SC,MHL,"Marshall, Ilhas"
2024,11,FIBRAS,0.017394,0.346634,SC,PRY,Paraguai
2024,6,FRUTAS,8e-06,2.8e-05,RJ,USA,Estados Unidos
2024,1,FIBRAS,1e-06,3.7e-05,GO,PRY,Paraguai
2024,5,CEREAIS,3e-05,0.00026,SP,HKG,Hong Kong
2024,5,PFLOREST,0.02514,0.029865,PR,PER,Peru
2024,2,PADIVER,0.00847,0.041705,RS,PRT,Portugal
2024,9,PESCADOS,0.000185,0.002185,SP,LBR,Libéria
2024,12,FRUTAS,6e-05,0.000965,MG,USA,Estados Unidos
2024,7,CEREAIS,0.486373,0.105105,PA,DOM,República Dominicana
2024,9,FRUTAS,2e-05,4.3e-05,SP,VNM,Vietnã
2024,9,CAR_BOV,2e-06,1.7e-05,SP,ATG,Antígua e Barbuda
2024,3,FRUTAS,0.00046,0.00055,BA,LBR,Libéria
2024,1,FIBRAS,1.890146,3.521921,MT,BGD,Bangladesh
2024,10,PHORTIC,0.000266,0.000184,SP,MLT,Malta
2024,12,FRUTAS,0.261974,0.321278,BA,PRT,Portugal
2024,10,CAR_SUI,0.000618,0.003413,MA,MHL,"Marshall, Ilhas"
2024,6,PFLOREST,0.001701,0.000572,PR,PRY,Paraguai
2024,12,FIBRAS,1e-06,0.000149,PR,PRY,Paraguai
2024,4,PADIVER,0.0,5e-06,BA,NOR,Noruega
2024,2,COUROS,0.502303,0.507343,MT,CHN,China
2024,8,CAR_FRA,0.544347,1.331098,PR,CHL,Chile
2024,12,CAR_BOV,5e-06,1.2e-05,AL,PAN,Panamá
2024,9,PHORTIC,1e-05,4.4e-05,ES,BRA,Brasil
2024,12,CACAU,2.4e-05,0.000329,SC,CHN,China
2024,7,CHAMATE,1e-06,3e-06,BA,LTU,Lituânia
2024,9,PADIVER,8e-06,9.1e-05,SC,SGP,Cingapura
2024,1,LACTEOS,0.00038,0.001857,SP,URY,Uruguai
2024,8,FRUTAS,5.8e-05,0.00015,SP,DNK,Dinamarca
2024,7,CAFE,0.024603,0.129743,GO,KOR,Coreia do Sul
2024,8,LACTEOS,2e-06,1.6e-05,PE,LBR,Libéria
2024,6,PESCADOS,1.5e-05,3.4e-05,PR,LBR,Libéria
2024,11,CAR_OUT,0.000627,0.002076,SP,MHL,"Marshall, Ilhas"
2024,5,SUCOLAR,0.043215,0.132908,SP,MYS,Malásia
2024,8,FIBRAS,0.0,0.000185,SP,CHL,Chile
2024,1,CSUCRO,2e-05,2.1e-05,ES,MHL,"Marshall, Ilhas"
