ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2026,1,LACTEOS,5e-06,6.1e-05,CE,BHS,Bahamas
2026,2,PADIVER,1e-06,4e-06,PR,LBR,Libéria
2026,8,FRUTAS,2e-05,5.8e-05,SC,PRT,Portugal
2026,2,CHAMATE,0.048,0.127728,RS,ESP,Espanha
2026,3,PESCADOS,6.5e-05,0.000678,RJ,BHS,Bahamas
2026,8,PHORTIC,2e-05,3.8e-05,CE,LBR,Libéria
2026,8,PHORTIC,2.6e-05,6.9e-05,MA,MLT,Malta
2026,6,CAFE,1.1e-05,0.000183,AL,MHL,"Marshall, Ilhas"
2026,1,CAFE,3e-06,0.000103,SP,SGP,Cingapura
2026,2,PHORTIC,7e-05,0.000173,SP,PAN,Panamá
2026,8,CAR_SUI,0.026356,0.051941,RS,GEO,Geórgia
2026,1,CEREAIS,0.000115,0.00012,MA,PAN,Panamá
2026,8,FIBRAS,8e-06,0.000349,SP,LBR,Libéria
2026,6,PHORTIC,1e-05,1.3e-05,SP,MHL,"Marshall, Ilhas"
2026,4,CAR_BOV,0.000124,0.000587,SP,HKG,Hong Kong
2026,7,FRUTAS,0.011232,0.017126,RN,ESP,Espanha
2026,5,BEBIDAS,0.01024,0.008036,SP,CHL,Chile
2026,5,PFLOREST,0.038211,0.083847,SC,USA,Estados Unidos
2026,3,CEREAIS,0.000185,0.000226,BA,PAN,Panamá
2026,6,PFLOREST,1.399723,0.721415,SC,OMN,Omã
2026,7,PFLOREST,0.127545,0.173233,PR,PRY,Paraguai
2026,4,PADIVER,3.3e-05,0.000117,ES,CYP,Chipre
2026,8,CAR_BOV,0.140369,0.773843,MT,RUS,Rússia
2026,6,PHORTIC,0.000397,0.001638,SP,MHL,"Marshall, Ilhas"
2026,6,PFLOREST,0.046629,0.095681,SC,URY,Uruguai
2026,5,RACOES,0.075,0.0855,SC,SAU,Arábia Saudita
2026,1,PADIVER,1e-06,1.1e-05,ES,MHL,"Marshall, Ilhas"
2026,8,PESCADOS,0.000635,0.024946,RN,AUS,Austrália
2026,3,FIBRAS,0.000113,0.007144,SC,PAN,Panamá
2026,2,PADIVER,0.009179,0.090848,RJ,NLD,Países Baixos (Holanda)
2026,4,PHORTIC,1.8e-05,3.2e-05,BA,PRT,Portugal
2026,6,CACAU,1e-05,0.000172,SP,PRT,Portugal
2026,1,PHORTIC,2e-05,2.8e-05,SC,SGP,Cingapura
2026,6,PHORTIC,9e-06,0.000372,ES,BHS,Bahamas
2026,5,PADIVER,4e-06,2.8e-05,CE,BHS,Bahamas
2026,8,FRUTAS,9.5e-05,0.000178,MA,MHL,"Marshall, Ilhas"
